,MarketName,x,y,WIC,Organic,Vegetables,Meat,Fruits,Grains
1247,High Point Farmers Market,-80.01264499999999,35.966162,N,N,Y,Y,Y,N
1249,High Springs Farmers Market,-82.596257,29.825509000000004,Y,N,Y,Y,Y,N
1251,Highland Farmers' Market,-79.58619499999999,38.409646,N,Y,Y,Y,Y,N
1253,Highlands Ranch Farmers Market,-104.99968500000001,39.547022999999996,N,N,Y,Y,Y,N
1255,Highway 7 Market,-94.5353089,42.5171234,N,-,Y,N,Y,N
1257,Hillsboro Farmers Market,-90.56665500000001,38.232278,N,N,Y,Y,Y,N
1259,Hillsboro Farmers' Markets - Downtown Hillsboro,-122.990366,45.524375,Y,N,Y,Y,Y,N
1261,Hillsboro Farmers' Markets - Orenco Station,-122.917552,45.534675,Y,Y,Y,Y,Y,Y
1263,Hillsdale Farmers' Market,-122.692801,45.477581,Y,Y,Y,Y,Y,Y
1265,Hinesville Farmers Market ,-81.59569,31.846771999999998,N,N,Y,N,Y,N
1267,"Hingham Farmers Market, Inc.",-70.88896700000001,42.247351,Y,N,Y,Y,Y,N
1269,Hinsdale Farmers Market,-87.928694,41.8036543,N,Y,Y,Y,Y,N
1271,Historic Downtown Farmers Market,-93.050943,34.504886,N,N,Y,Y,Y,N
1273,Historic Downtown Jersey City Farmers Market,-74.042428,40.719659,Y,Y,Y,N,Y,N
1275,Historic Farmers Market of Lapeer LLC,-83.309076,43.053482,Y,-,Y,N,Y,N
1277,Historic Lewes Farmers Market,-75.14746,38.772137,Y,Y,Y,Y,Y,N
1279,Historic Lewes Farmers Market,-75.14775999999999,38.768122,Y,Y,Y,N,Y,N
1281,Historic Lewes Farmers Market Summer Wednesday Market,-75.150136,38.747053,Y,N,Y,N,Y,N
1283,Historic Marion Tailgate Market,-82.008815,35.682465,N,N,Y,Y,Y,Y
1285,Historic Newburgh Farmers Market,-87.405321,37.944041999999996,Y,N,Y,Y,Y,N
1287,Holden MO Farmer's Market,-93.9908869,38.718656599999996,N,N,Y,N,Y,N
1289,Holly Farmers Market,-83.625343,42.7906,N,N,Y,Y,Y,N
1291,Holly Springs Farmers Market,-78.83619,35.650573,Y,-,Y,Y,Y,N
1293,Hollywood Farmers' Market,-118.32819099999999,34.099639,Y,Y,Y,Y,Y,Y
1295,Home Grown Farm Market,-76.420927,38.247929,Y,Y,Y,Y,Y,N
1297,Homer Farmers Market,-151.512342,59.638109,Y,-,Y,N,Y,Y
1299,Homewood Farmers Market,-87.66623100000001,41.562264,N,-,Y,N,Y,N
1301,Hood River Farmers Market,-121.51581399999999,45.710094,Y,Y,Y,Y,Y,N
1303,Hoodland Farmers Market ,-121.96091799999999,45.349594,Y,Y,Y,Y,Y,N
1305,Hope & Main's Schoolyard Market,-71.28214399999999,41.725161,N,-,Y,Y,Y,Y
1307,Hope Street Farmers Market,-71.356584,41.799956,Y,Y,Y,Y,Y,Y
1309,Hopkins Farmers Winter Market,-93.41710400000001,44.925619,Y,Y,Y,Y,Y,Y
1311,Hopkinsville-Christian County Downtown Farmers Market,-87.489438,36.866111,Y,-,Y,Y,Y,N
1313,Hopkinton Farmers Market,-71.51777,42.229299,Y,Y,Y,Y,Y,N
1315,Hot Springs Farmers Market,-103.47908199999999,43.432276,N,N,Y,N,Y,N
1317,Hub City Farmers' Market,-81.942413,34.956245,Y,-,Y,Y,Y,N
1319,Hudson Farmers Market,-73.783692,42.248656,Y,Y,Y,Y,Y,Y
1321,Huguenot-Robious Farmers Market,-77.610398,37.519515999999996,N,-,Y,N,Y,N
1323,Huguenot-Robious Farmers Market @ The Great Big Greenhouse,-77.610901,37.519378,N,N,Y,N,Y,N
1325,Hunterdon Land Trust Farmers Market,-74.871267,40.505223,N,Y,Y,Y,Y,N
1327,Huntingdon Farmers' Market,-78.01723,40.485653000000006,Y,Y,Y,Y,Y,N
1329,Huntley Farmers Market,-88.424435,42.168577,Y,-,Y,Y,Y,N
1331,Hutto Farmers Market,-97.54833599999999,30.545152,N,Y,Y,Y,Y,N
1333,Hyattsville Farmers Market,-76.941854,38.952822,N,-,Y,Y,Y,N
1335,Hyde Park Farmers' Market,-84.44233,39.139602000000004,N,Y,Y,Y,Y,Y
1337,Ida Area Farmers' Market,-95.470874,42.345172999999996,Y,N,Y,N,Y,N
1339,Idaho Falls Farmers' Market,-112.04250800000001,43.494592,N,N,N,Y,N,N
1341,Imlay City Farmers Market,-83.074322,43.02429,Y,-,Y,N,Y,N
1343,Imogene Stout Market on Main ,-88.08135300000001,37.334578,N,Y,Y,N,Y,N
1345,Independence Farmers Market,-91.89497320000001,42.46870560000001,Y,N,Y,N,Y,N
1347,INDEPENDENCE UPTOWN MARKET,-94.41817900000001,39.093845,N,N,Y,Y,Y,N
1349,Indian Lake Community Farmers Market ,-74.27052900000001,43.782396999999996,N,Y,Y,Y,Y,N
1351,Indiana County Farmers Market ,-79.15502099999999,40.621852000000004,Y,N,Y,Y,Y,Y
1353,Ionia Farmers' Market,-85.06772609999999,42.9814841,Y,-,Y,N,Y,N
1355,iowa falls farmers' market,-93.264356,42.521221999999995,Y,-,Y,N,Y,N
1357,Isabahlia farmers Market,-73.901875,40.663651,Y,N,Y,N,Y,N
1359,Issaquah Farmers Market,-122.04911499999999,47.550637,Y,Y,Y,Y,Y,N
1361,Ithaca Farmers Market,-84.598559,43.292319,N,-,Y,Y,Y,N
1363,Ivanhoe Farmers Market,-96.246607,44.465196999999996,N,-,Y,N,N,N
1365,Jackalope Square Farmers Market,-105.38445700000001,42.759014,N,N,Y,N,Y,N
1367,Jackson (MO) Farmers Market,-89.66597259999999,37.377813700000004,N,-,Y,N,Y,N
1369,Jackson County Farmers Market,-90.862319,44.291599,Y,Y,Y,Y,Y,N
1371,Jackson County Farmers Market,-83.988324,37.430289,Y,N,Y,N,Y,N
1373,Jackson County Farmers Market,-83.922703,37.330559,Y,N,Y,N,Y,N
1375,Jackson County Farmers Market - Outdoor Market,-83.21839399999999,35.375375,N,N,Y,Y,Y,N
1377,Jackson County Winter Farmers Market,-83.224149,35.375581,N,N,Y,Y,N,N
1379,Jackson Food & Farm Market,-88.171891,43.309792,Y,-,Y,Y,Y,N
1381,"Janesville Farmers Market, Inc.",-89.023298,42.681669,Y,Y,Y,Y,Y,N
1383,Jasper Farmers Market,-84.4343796,34.46747,N,-,Y,Y,Y,N
1385,Jefferson Farmers' Market,-75.156213,39.949940000000005,Y,N,Y,N,Y,N
1387,Jeffersontown Farmers Market,-85.562797,38.195209999999996,N,N,Y,Y,Y,N
1389,Johnson County Farmers Market,-82.8042,37.812048,N,-,Y,N,Y,N
1391,Joshua Tree Certified Farmers Market,-116.3182535,34.1349431,Y,Y,Y,Y,Y,N
1393,Juneau Farmers Market and Local Food Festival ,-134.4136031,58.29985,N,Y,Y,N,Y,N
1395,Kailua Distirct Park (People's Open Market),-157.73733700000003,21.395630999999998,N,N,Y,N,Y,N
1397,Kaiser Permanente Fresno Farmers Market,-119.781524,36.843016999999996,Y,Y,Y,N,Y,N
1399,Kalamazoo Farmers Market,-85.58850100000001,42.275163,Y,Y,Y,Y,Y,Y
1401,Kalihi Valley District Park (People's Open Market),-157.8698,21.344726,N,N,Y,N,Y,N
1403,Kamehameha Community Park (People's Open Market),-157.872454,21.335165,N,N,Y,N,Y,N
1405,Kamuela Farmers Market,-155.66266000000002,20.017794,N,Y,Y,Y,Y,N
1407,Kaneohe District Park (People's Open Market),-157.810103,21.409789,N,N,N,N,Y,N
1409,Kapolei Community Park (People's Open Market),-158.066932,21.333263,N,N,Y,N,Y,N
1411,Kaumualii Street (People's Open Market),-157.877976,21.327407,N,N,Y,N,Y,N
1413,Keller Farmers Market,-97.24380699999999,32.926757,N,Y,Y,Y,Y,N
1415,Kenosha Public Market,-87.819902,42.587189,Y,-,Y,Y,Y,N
1417,Kenosha Public Market - Summer Outdoor,-87.81994499999999,42.587205,Y,-,Y,Y,Y,Y
1419,Kenosha Public Market - Winter Indoor ,-87.819183,42.584009,Y,-,Y,Y,Y,Y
1421,Kensington Farmers Market,-77.073728,39.026476,N,Y,Y,Y,Y,N
1423,Kentwood Farmers Market,-85.59695699999999,42.874316,Y,-,Y,N,Y,Y
1425,Kershaw County Farmers Market,-80.60619190000001,34.243264,N,Y,Y,Y,Y,N
1427,King Farmers' Market,-80.341178,36.276367,Y,-,Y,Y,Y,N
1429,King George Farmers Market,-77.2028,38.27678,N,N,Y,Y,Y,N
1431,Kingston Farmers' Market,-74.019483,41.932986,Y,Y,Y,Y,Y,Y
1433,Kingstowne,-77.276198,38.8347926,N,N,Y,Y,Y,N
1435,Kingwood Farmers Market,-95.184629,30.047327000000003,N,Y,N,Y,N,N
1437,Kirksville Kiwanis Farmers' Market,-92.584293,40.195114000000004,N,-,Y,Y,Y,N
1439,Kirtland Growers Market,-108.36051869999999,36.750789399999995,N,-,Y,N,Y,N
1441,Kittery Community Market,-70.736542,43.090021,Y,Y,Y,Y,Y,N
1443,Knox County Farmers Market,-92.172403,40.167823999999996,N,-,Y,N,Y,N
1445,Knox County Farmers' Market,-83.867633,36.849364,Y,N,Y,N,Y,N
1447,KSQ Farmers Market,-75.705331,39.842787,Y,Y,Y,Y,N,Y
1449,L. A Mercado Agricola,-66.011273,18.431395000000002,N,-,Y,N,N,N
1451,La Cienega Farmers Market,-118.37983,34.044973,Y,Y,Y,N,Y,N
1453,La Familia Verde Farmers Market,-73.893737,40.846468,Y,N,Y,N,Y,N
1455,La Familia Verde Market,-73.89197800000001,40.849357,Y,N,Y,N,Y,N
1457,La Grange Farmers' Market & Artisans,-85.379458,38.407465,N,N,Y,Y,Y,N
1459,La Plata Farmers Market - Saturday,-76.978699,38.531647,Y,N,Y,Y,Y,N
1461,Lachat Farmers Market,-73.38566800000001,41.235769,N,-,Y,Y,Y,Y
1463,Lafayette County Farmers Market,-93.577673,33.355445,N,N,Y,N,Y,N
1465,Lake Barrington Farmer's Market,-88.183818,42.180694,N,-,Y,N,Y,N
1467,Lake Oswego Farmers' Market,-122.664774,45.417854999999996,Y,Y,Y,Y,Y,N
1469,Lake Placid Farmers' Market ,-73.9841054,44.27704129999999,Y,Y,Y,Y,Y,N
1471,Lakes Area Growers Market,-94.193437,46.358912,N,Y,Y,Y,Y,N
1473,Lakes Area Growers Market,-94.235284,46.352551,N,Y,Y,Y,Y,N
1475,Lakeside Farmers Market - Saturday - year round,-77.4710931,37.6145155,N,N,Y,Y,Y,N
1477,Lakeside Farmers' Market,-77.470522,37.614945,N,-,Y,Y,Y,N
1479,Lakewood Earth and Food (LEAF) Community Farmers' Market,-81.804266,41.484539,N,-,Y,Y,Y,Y
1481,Lakewood NY Farmers' and Artisans' Market,-79.326095,42.103565,N,Y,Y,Y,Y,N
1483,Lakewood Village Farmers Market,-96.751083,32.835725,N,N,Y,N,Y,N
1485,Lamoni Farmer's Market,-93.933204,40.62353,Y,N,Y,Y,Y,N
1487,Lanark Farmers Market,-89.8327,42.102207,N,-,Y,N,Y,N
1489,Lancaster Farmers Market,-82.603853,39.712631,Y,-,Y,Y,Y,N
1491,Landon's Greenhouse Farmers Market,-106.94832099999999,44.760524,N,-,Y,Y,Y,Y
1493,Lane County Farmers Holiday Market,-123.116207,44.056748,Y,Y,Y,Y,Y,Y
1495,Lane County Farmers Market,-123.09154,44.050826,Y,Y,Y,Y,Y,Y
1497,Lansdale Farmers' Market,-75.277496,40.234201,Y,Y,Y,Y,Y,Y
1499,Larimer County Farmers' Market,-105.080197,40.586073,N,Y,Y,Y,Y,Y
1501,Latham Farmers Market,-86.56453,34.647521999999995,Y,Y,Y,Y,Y,N
1503,Laurel Farmers Market,-89.130033,31.692521999999997,N,-,Y,N,Y,N
1505,Lawrence Farmers Market,-86.048868,42.219637,Y,-,Y,Y,Y,N
1507,Lawrence Farmers' Market - Saturday Downtown Market,-95.23448,38.96859,N,Y,Y,Y,Y,Y
1509,Lawrence Farmers' Market - Tuesday Market,-95.235986,38.963018,N,Y,Y,Y,Y,Y
1511,Lawrenceville Farmers Market,-79.96109200000001,40.467011,Y,-,Y,Y,Y,N
1513,Lebanon City Market,-86.469047,40.045671399999996,Y,-,Y,N,Y,N
1515,Lebanon Farmers Market,-72.212877,41.635781,Y,Y,Y,Y,Y,N
1517,Legacy Farmers Market,-98.465436,29.609419,N,N,Y,Y,Y,N
1519,Legion Park Farmers Market ,-80.183684,25.836451,N,Y,Y,Y,Y,Y
1521,Leland Farmers Market,-85.75945899999999,45.022857,Y,Y,Y,N,Y,N
1523,Lenexa Farmers Market,-94.803914,38.965267,N,N,Y,Y,Y,Y
1525,Lenoir County Farmers Market,-77.584119,35.260631,N,N,Y,N,Y,N
1527,Lettuce Eat Well Farmers' Market,-84.617203,39.1587027,N,-,Y,Y,Y,Y
1529,Lewis County General Hospitals Farmers Market,-75.500665,43.794672,Y,-,Y,N,Y,N
1531,Lewiston Area Farmers Market,-91.866902,43.980990999999996,N,Y,Y,Y,Y,Y
1533,Lewiston Farmers Market,-70.22037900000001,44.096575,Y,Y,Y,Y,Y,Y
1535,Lewiston Winter Farmers Market,-70.172185,44.089594,Y,Y,Y,Y,Y,Y
1537,Lexington Farmers' Market,-71.22245500000001,42.446439,Y,Y,Y,Y,Y,N
1539,Lexington Small Yet Mighty Winter Farmers Market,-71.206748,42.429241999999995,N,N,Y,Y,Y,N
1541,Liberty Park Market,-111.872426,40.744796,N,-,Y,Y,Y,N
1543,Ligonier Country Market,-79.2507333,40.2501886,Y,Y,Y,Y,Y,N
1545,Lilburn Farmers Market,-84.08109300000001,33.859588,N,-,Y,Y,Y,N
1547,Lincoln County Producers' Markets,-114.5149,37.616659999999996,N,Y,Y,N,Y,N
1549,Lincoln Heights Certified Farmers Market,-118.21309199999999,34.073479999999996,Y,Y,Y,N,Y,N
1551,Lincoln Heights Certified Farmers Market,-118.213102,34.073591,Y,Y,Y,N,Y,N
1553,Lincoln Park Farmers Market,-83.17766400000001,42.249843,Y,N,Y,N,Y,N
1555,Linda Vista Certified Farmers Market,-117.17056299999999,32.785209,Y,N,Y,Y,Y,N
1557,Linton Farmers' Market,-87.149098,39.039325,Y,N,Y,Y,Y,N
1559,Litchfield Hills Farm-Fresh Market,-73.189724,41.743812,Y,Y,Y,Y,Y,N
1561,Litchfield Hills Farm-Fresh Market,-73.215193,41.740678,Y,Y,Y,Y,Y,N
1563,Little Farm Store Market,-92.680159,37.118045,N,-,Y,N,Y,N
1565,Little Italy Farmers Market,-80.085081,42.1155929,Y,N,Y,N,Y,N
1567,Little Italy Mercato CFM,-117.167574,32.723123,Y,Y,Y,Y,Y,Y
1569,Little River County Farmers Market,-94.1176,33.661403,N,-,Y,N,Y,N
1571,Little River Farmers Market,-78.640489,33.880648,Y,-,Y,N,Y,N
1573,Livingston Farmers Market,-110.556707,45.654253999999995,N,Y,Y,Y,Y,Y
1575,Livonia Wilson Barn Farmers Market,-83.33199499999999,42.362596,N,-,Y,N,Y,N
1577,Local APX Market - Seasonal,-78.826847,37.353215000000006,N,-,Y,Y,N,N
1579,Logan County Farmer's Market,-86.884185,36.866285999999995,Y,N,Y,Y,Y,N
1581,Lorton ,-77.21635500000001,38.698239,N,N,Y,Y,Y,N
1583,Los Ranchos Growers' Market,-106.65491899999999,35.158683,Y,Y,Y,Y,Y,Y
1585,Louisiana Community Betterment Farmer's Market,-91.062659,39.441188000000004,N,-,Y,N,Y,N
1587,Loveland Farmers Market,-84.259924,39.266388,N,Y,Y,Y,Y,N
1589,Low-Line Market at Southport,-87.664233,41.943816,N,N,Y,Y,Y,N
1591,Lower Valley Farmers Market,-117.52864299999999,45.570355,Y,N,Y,Y,Y,N
1593,Lowville Farm and Craft Market,-75.49102099999999,43.793853999999996,Y,Y,Y,Y,Y,N
1595,LSI Global Greens Farmers' Market,-93.660454,41.599698,Y,N,Y,N,N,N
1597,Ludington Farmer's Market,-86.447744,43.955713,Y,-,Y,N,Y,N
1599,LVHMC Bluemont Farmers Market,-77.833365,39.110875,N,Y,Y,Y,Y,N
1601,LVHMC Cascades Farmers' Market,-77.395364,39.031603000000004,N,Y,Y,Y,Y,Y
1603,LVHMC Leesburg Farmers Market,-77.56573399999999,39.107555,N,Y,Y,Y,Y,N
1605,LVHMC Loudoun Station Farmers Market,-77.489597,39.006277000000004,N,Y,Y,Y,Y,Y
1607,Lynchburg Community Market,-79.14037900000001,37.411516999999996,N,-,Y,Y,Y,Y
1609,Lynden Farmers Market,-122.452228,48.944086999999996,N,Y,Y,Y,Y,N
1611,Mableton Farmers Market,-84.575384,33.826085,N,N,Y,N,Y,N
1613,Madison County Farmers Market,-94.013604,41.335221999999995,Y,Y,Y,Y,Y,N
1615,Madison Farmers Market,-96.1754168,45.0087575,N,N,Y,N,Y,N
1617,Madison NJ Farmers Market,-74.414532,40.759057,Y,-,Y,Y,Y,N
1619,Madras Saturday Market Holiday Market,-121.12716200000001,44.638418,Y,-,N,N,N,N
1621,Madrona Farmers Market ,-122.295751,47.612615999999996,Y,Y,Y,Y,Y,Y
1623,MADWest Winter Farmers' Market,-89.502026,43.066326000000004,N,Y,Y,Y,Y,Y
1625,Main Street DeFuniak Farmer's Market,-86.1137,30.720266,Y,-,Y,N,Y,N
1627,Main Street Dyersburg Farmers Market,-89.389549,36.030081,N,N,Y,Y,Y,N
1629,Main Street Farmers Market,-80.245,40.169000000000004,Y,-,Y,Y,Y,Y
1631,Main Street Farmers Market,-120.79696499999999,38.730544,Y,Y,Y,Y,Y,N
1633,Main Street Farmers Market,-95.4504829,37.6817937,N,-,Y,Y,Y,N
1635,Main Street Farmers Market,-75.257714,41.575082,Y,Y,Y,Y,Y,N
1637,Main Street Wadsworth Farmers Market,-81.732318,41.028681,N,-,Y,Y,Y,N
1639,MainStreet Libertyville Farmers Market,-87.95474399999999,42.287242,Y,Y,Y,Y,Y,N
1641,Makiki District Park (People's Open Market),-157.836497,21.303939,N,N,Y,N,Y,N
1643,Manchester's Spruce Street Market,-72.51832399999999,41.781503,N,N,Y,Y,Y,N
1645,Manhattan Farmers Market,-111.333325,45.856792999999996,Y,Y,Y,Y,Y,N
1647,Manistee Farmers Market,-86.323001,44.249272999999995,Y,Y,Y,N,Y,N
1649,Manistique Farmers' Market,-86.243595,45.959984000000006,Y,N,Y,Y,Y,N
1651,Manoa Valley District Park (People's Open Market),-157.807997,21.314189000000002,N,N,Y,N,Y,N
1653,Mansfield Farmers Market,-97.134052,32.564588,N,N,Y,Y,Y,Y
1655,Manson Farmers Market,-120.155979,47.884784,N,Y,Y,N,Y,N
1657,Manson Farmers Market,-94.539507,42.527104,Y,N,Y,N,Y,N
1659,Manzanita Farmers Market,-123.894248,45.719007,Y,N,Y,Y,Y,N
1661,Maple Valley Farmers' Market,-122.023367,47.367729,Y,Y,Y,Y,Y,N
1663,Marietta Square Farmers Market,-84.549494,33.953194,N,Y,Y,Y,Y,Y
1665,Marinette Artisan & Farm Market,-87.628231,45.098174,Y,Y,Y,N,Y,N
1667,Marion Farmers Market,-91.580744,42.04437720000001,Y,-,Y,Y,Y,N
1669,Marion Ohio Market,-83.122972,40.593303999999996,Y,-,Y,N,Y,N
1671,Market 23,-97.361665,41.440025,Y,N,Y,Y,Y,N
1673,"Market at the Park - Orland Park, IL",-87.85651700000001,41.631943,N,Y,Y,Y,Y,N
1675,Market Common Farmers Market,-78.9390094,33.6699343,Y,-,Y,Y,Y,N
1677,Market in The Park,-88.045015,30.69035,N,N,Y,N,Y,N
1679,Market in the Park,-88.557509,44.0053166,N,Y,Y,Y,Y,N
1681,Market in The Park - Lavretta Park,-88.16008199999999,30.691614,N,N,Y,N,Y,N
1683,Market Mondays at the Arsht Center,-80.18985500000001,25.787138,N,Y,Y,Y,Y,N
1685,Market of Life,-87.344853,41.595883,N,-,Y,N,N,N
1687,Market on Main ,-87.568349,37.972884,Y,-,Y,Y,Y,N
1689,Market on Military Summer,-88.06464,44.52221,Y,N,Y,Y,Y,N
1691,Market on the Green,-82.875408,39.97423,N,-,Y,N,Y,Y
1693,Market on the Square (BrokenkBow),-99.63987,41.405409999999996,N,-,Y,N,Y,N
1695,Market Square Farmers' Market,-83.91050600000001,35.965659,Y,Y,Y,Y,Y,Y
1697,Marksville Main Street Fresh Market,-92.066002,31.12742,N,Y,Y,Y,Y,N
1699,Marlette Farmers Market,-83.08053199999999,43.327346,N,Y,Y,Y,Y,N
1701,Marshall County Farmers Market,-88.378744,36.842165,N,-,Y,N,Y,N
1703,Marshfield Farmer's Market,-70.71731700000001,42.098147999999995,Y,Y,Y,Y,Y,Y
1705,Martin County Main Street Market,-77.055113,35.855219,N,-,Y,N,N,N
1707,Maryville Farmer’s Market,-89.9500804,38.7331622,N,-,Y,Y,Y,N
1709,Maryville Farmers Market - Saturdays,-83.969504,35.756987,N,N,Y,Y,Y,N
1711,Mason County Farmers Market,-83.80842,38.615072999999995,N,Y,Y,Y,Y,N
1713,Mason Farmers Market,-84.4426,42.580168,N,N,Y,N,Y,N
1715,Mattapan Square  Farmers Market,-71.076514,42.3313532,Y,Y,Y,Y,Y,N
1717,Matthys Farm Market,-86.35873000000001,41.655159999999995,N,-,Y,N,Y,N
1719,Mauldin Farmers Market,-82.30639559999999,34.7796468,N,Y,Y,Y,Y,N
1721,Mauston Farmers' Market,-90.082332,43.801303999999995,N,-,Y,Y,Y,N
1723,McCreary County Farmers Market,-84.474473,36.694321,N,-,Y,Y,Y,N
1725,McCutcheon/Mount Vernon ,-77.082026,38.818343,N,N,Y,Y,Y,N
1727,McKinleyville CFM,-124.100568,40.944643,Y,Y,Y,Y,Y,N
1729,McLean ,-77.192913,38.943545,N,N,Y,Y,Y,N
1731,Meade County Farmers Market,-86.166136,37.988637,Y,N,Y,Y,Y,Y
1733,Medford Farmers Market,-71.11543499999999,42.41853,Y,N,Y,Y,Y,N
1735,Media Farmers' Market,-75.385551,39.917838,Y,Y,Y,Y,Y,N
1737,Medicine Root/Oyate Teca Farmers Market,-102.176734,43.424109,N,N,Y,N,N,N
1739,Medina Square Farmers Market,-81.869513,41.134636,Y,Y,Y,Y,Y,N
1741,Meigs County Farmers' Market,-82.034026,39.026596000000005,Y,Y,Y,N,Y,N
1743,Memphis Farmers Market,-90.06008,35.132038,Y,Y,Y,Y,Y,Y
1745,Menifee County Farmers Market,-83.62783,37.951788,Y,N,Y,Y,Y,N
1747,Menlo Park Farmers' Market,-122.1841,37.450821999999995,N,Y,Y,Y,Y,Y
1749,Menominee Historic Downtown Farmers Market  Association ,-87.603938,45.105926000000004,Y,Y,Y,N,Y,N
1751,Menominee Historic Downtown Farmers Market  Association ,-87.604562,45.107233,Y,Y,Y,N,Y,N
1753,Merchantville Market Off Centre,-75.0490757,39.9524734,N,N,Y,N,Y,N
1755,Meridian Main Street Market,-116.392301,43.609999,N,-,Y,Y,N,Y
1757,Miami County Farmers Market,-86.069521,40.755229,N,-,Y,N,Y,N
1759,Mid-Town Farmers Market,-89.516816,34.373647,N,N,Y,Y,Y,N
1761,Middlebury Farmers' Market,-73.16990799999999,44.026734000000005,Y,N,Y,Y,Y,N
1763,middletown farmer's Market,-85.543717,38.242222,N,Y,Y,Y,Y,N
1765,Middletown Farmers' Market,-77.54531,39.441866999999995,N,Y,Y,Y,Y,N
1767,Midland Area Farmers Market,-84.236727,43.609016,Y,Y,Y,Y,Y,N
1769,Midtown Farmers Market,-90.30725100000001,38.656378000000004,N,Y,Y,Y,Y,N
1771,Miles City Farmers Market,-105.840096,46.408215000000006,Y,-,Y,N,Y,N
1773,MILFORD - DOWNTOWN FARMERS’ MARKET,-73.062096,41.226597999999996,Y,N,Y,Y,Y,N
1775,Mililani District Park (People's Open Market),-158.018299,21.440682000000002,N,N,Y,N,Y,N
1777,Milk Lady Derwood Fall 2020 Pickup/Delivery,-77.150329,39.126727,N,-,Y,Y,Y,N
1779,Milk Lady Derwood Farmers Market,-77.150144,39.126884999999994,Y,-,Y,Y,Y,N
1781,Milk Lady Shady Grove Farmers Market,-77.199488,39.104422,Y,Y,Y,Y,Y,N
1783,"Mill City Farmers Market, Inc.",-93.25627800000001,44.978211,Y,Y,Y,Y,Y,Y
1785,Millen Produce Market,-81.936127,32.802685,N,Y,Y,N,Y,N
1787,Milton Farmers' Market,-75.310511,38.769132,Y,N,Y,Y,Y,N
1789,Milwaukee Winter Farmers Market,-87.944924,43.025865,N,Y,Y,Y,Y,Y
1791,Mineola Main Street Farmers Market,-95.489641,32.662165,N,N,Y,Y,Y,N
1793,Minnetrista Farmers Market,-85.393346,40.198978000000004,Y,Y,Y,Y,Y,Y
1795,Minturn Market,-106.4315,39.588390000000004,N,-,Y,N,Y,N
1797,Mission Community Market,-122.419881,37.755373,Y,Y,Y,Y,Y,N
1799,Mission Farm and Flower Market,-94.6512054,39.0219446,N,-,Y,Y,Y,N
1801,Missoula Farmers' Market,-113.99211299999999,46.87474,Y,Y,Y,Y,Y,N
1803,MLK Campus Farmers' Market,-118.243583,33.923533,Y,Y,Y,N,Y,N
1805,Monday Farmers Market at your library,-95.69624,39.049968,N,N,Y,N,Y,N
1807,Monroe County Farmer's Market,-83.39378,41.91965,Y,N,Y,Y,Y,N
1809,Monroe Farmers Market ,-89.639224,42.601889,Y,-,Y,Y,Y,N
1811,Montavilla Farmers Market,-122.58431100000001,45.519002,Y,Y,Y,Y,Y,Y
1813,Montclair Village Farmers' Market,-122.209928,37.826522,Y,Y,Y,Y,Y,Y
1815,MONTEVALLO FARMERS MARKET,-86.862926,33.09948,Y,-,Y,N,Y,N
1817,Montgomery County Farmers' Market,-83.94130200000001,38.054333,Y,Y,Y,N,Y,N
1819,Monticello Market on the Square,-83.683495,33.304642,N,-,Y,N,Y,N
1821,Montour Falls Farmers Market,-76.847748,42.346431,Y,Y,Y,Y,Y,N
1823,Montrose Farmers Market - Summer,-107.874269,38.479423,N,-,Y,Y,Y,Y
1825,Moonlight Market,-94.805322,39.017779,N,-,Y,N,Y,N
1827,Moreland Farmers Market,-122.65138700000001,45.47394,Y,Y,Y,Y,Y,N
1829,Morgan County Farmers Market,-81.853276,39.648855,N,N,Y,N,Y,N
1831,Morgan County Farmers' Market Association,-86.42869499999999,39.423392,Y,-,Y,Y,Y,Y
1833,Morgan County Farmers' Market Association,-86.3796098,39.612806,Y,N,Y,Y,Y,Y
1835,Morgan County Winter Farmers' Market Association,-86.42090400000001,39.422140999999996,N,-,Y,Y,N,Y
1837,Morganton Farmer's Market,-81.688488,35.746626899999995,N,-,Y,Y,Y,N
1839,Morris County Winter Farmers' Market,-74.48994499999999,40.801309,N,Y,Y,Y,Y,N
1841,Morro Bay Main Street Farmers Market,-120.849956,35.365976,Y,Y,Y,Y,Y,Y
1843,Moscow Farmers Market,-117.0014061,46.7317086,N,Y,Y,Y,Y,Y
1845,Mosinee Farm Market,-89.708626,44.797421,Y,-,Y,N,Y,N
1847,Mount Carroll Farmers Market,-89.978008,42.101295,N,-,Y,Y,Y,N
1849,Mount Hope Farmers Market,-71.25688199999999,41.669478000000005,Y,Y,Y,Y,Y,N
1851,Mount Pleasant Farmers Market,-79.8734,32.790718,N,Y,Y,Y,Y,N
1853,Mount Pleasant Farmers' Market,-77.038675,38.931518,Y,-,Y,Y,Y,N
1855,Mountain Fresh Oakland Farmers Market,-79.409554,39.408747,Y,N,Y,Y,Y,Y
1857,Mt Airy Farmers' Market,-75.196253,40.046155999999996,Y,N,Y,N,Y,N
1859,Mt. Pleasant Farmers' Market - Broadway Street,-84.776052,43.604433,Y,N,Y,Y,Y,N
1861,Mt. Pleasant Farmers' Market - Island Park,-84.780178,43.607074,Y,N,Y,Y,Y,N
1863,Mt. Washington Farmer's Market,-85.543754,38.049484,N,-,Y,Y,Y,N
1865,Mulberry Market,-83.646551,32.833797,N,Y,Y,Y,Y,Y
